"c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie...","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments...","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura...","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET...","c..Ice.sheet.initiation.and.climatic.influences.of.expanded.snow.cover.in.Arctic.Canada...","c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie....1","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments....1","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura....1","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET....1"
"Modern Pollen—Vegetation Relationships"," Pollen in packrat (Neotoma) middens: Pollen transport and the relationship of pollen to vegetation ","The Influence of Wind Tunnel Turbulence on the Boundary Layer Transition","Composition of Rhizomes of Forest Herbaceous Plants in Relation to Morphology, Ecology, and Burial by Tephra","Biometeorology and its Relation to Pollen Count","Modern Pollen—Vegetation Relationships"," Pollen in packrat (Neotoma) middens: Pollen transport and the relationship of pollen to vegetation ","The Influence of Wind Tunnel Turbulence on the Boundary Layer Transition","Composition of Rhizomes of Forest Herbaceous Plants in Relation to Morphology, Ecology, and Burial by Tephra"
"Information Bulgaria: A Short Encyclopaedia of the People's Republic of Bulgaria.","Development of voids in the thin-wall approximation. I - General characteristics of spherical vacuum voids","Integration of Fhotosynthetic Characteristics during Leaf Development","Metamorphism and structure of the Laurie Lake region, Manitoba","Chloroplast Development","Information Bulgaria: A Short Encyclopaedia of the People's Republic of Bulgaria.","Development of voids in the thin-wall approximation. I - General characteristics of spherical vacuum voids","Integration of Fhotosynthetic Characteristics during Leaf Development","Metamorphism and structure of the Laurie Lake region, Manitoba"
"Brief geologic history of the greater Lake Superior region","Geology of the Keweenawan age Midcontinent Rift System, Lake Superior Region","Cultural history of the Lake Superior region","Geology of unmineralized and gold-bearing iron formation, Contwoyto Lake – Point Lake region, Northwest Territories, Canada","Finnish Meadow-Hay Barns in the Lake Superior Region","Brief geologic history of the greater Lake Superior region","Geology of the Keweenawan age Midcontinent Rift System, Lake Superior Region","Cultural history of the Lake Superior region","Geology of unmineralized and gold-bearing iron formation, Contwoyto Lake – Point Lake region, Northwest Territories, Canada"
"Some Holocene pollen diagrams from Greece","POLLEN DIAGRAMS FROM THE SHETLAND AND FAROE ISLANDS","Pollen stratigraphy of holocene sediments from the grand rapids area, Manitoba, Canada","Modern Pollen Spectra From northwestern Ontario","W. S. Hopkins 1974. Some spores and pollen from the Christopher Formation (Albian) of Ellef and Amund Ringnes Island, and northwestern Melville Island, Canadian Arctic Archipelago. Geological Survey of Canada Paper 73–12. v + 39 pp., 1 fig., 6 pls. Ottawa. Price $2.00.","Some Holocene pollen diagrams from Greece","POLLEN DIAGRAMS FROM THE SHETLAND AND FAROE ISLANDS","Pollen stratigraphy of holocene sediments from the grand rapids area, Manitoba, Canada","Modern Pollen Spectra From northwestern Ontario"
"Boreal Ecosystem Development in the Northwestern Alaska Range since 11,000 yr B.P.","Vegetation History of Pleasant Island, Southeastern Alaska, since 13,000 yr B.P.","Development of radiographic damage during the first 5-6 yr of rheumatoid arthritis. A prospective follow-up study of a Swedish cohort","Diurnal and Seasonal Patterns of Ecosystem CO 2 Efflux from Upland Tundra in the Foothills of the Brooks Range, Alaska, U.S.A.","Development of a general ecosystem model for a range of scales and ecosystems","Boreal Ecosystem Development in the Northwestern Alaska Range since 11,000 yr B.P.","Vegetation History of Pleasant Island, Southeastern Alaska, since 13,000 yr B.P.","Development of radiographic damage during the first 5-6 yr of rheumatoid arthritis. A prospective follow-up study of a Swedish cohort","Diurnal and Seasonal Patterns of Ecosystem CO 2 Efflux from Upland Tundra in the Foothills of the Brooks Range, Alaska, U.S.A."
"Analgesia, virtue, and the principle of double effect. (Queen's University, Kingston, Ontario, Canada) J Palliative Care 2000;16:S24-S30.","Kees Boterbloem. Life and Death under Stalin: Kalinin Oblast, 1945-1953. Montreal and Kingston: McGill-Queen's University Press, 1999. xxv, 435 pp. $49.95 Cdn.","RecentSocial Trends inRussia,1960-1995. Edited by Irene A. Boutenko and Kirill E. Razlogov. Montreal and Kingston: McGill-Queen's University Press, 1997. xvii, 379 pp. $75.00 Cdn.","Diatom Changes in Lake Sediments from the Mackenzie Delta, N.W.T., Canada: Paleohydrological Applications","Philosophy of Language Alexander Miller Montreal and Kingston: McGill-Queen's University Press, 1998, xviii + 348 pp.","Analgesia, virtue, and the principle of double effect. (Queen's University, Kingston, Ontario, Canada) J Palliative Care 2000;16:S24-S30.","Kees Boterbloem. Life and Death under Stalin: Kalinin Oblast, 1945-1953. Montreal and Kingston: McGill-Queen's University Press, 1999. xxv, 435 pp. $49.95 Cdn.","RecentSocial Trends inRussia,1960-1995. Edited by Irene A. Boutenko and Kirill E. Razlogov. Montreal and Kingston: McGill-Queen's University Press, 1997. xvii, 379 pp. $75.00 Cdn.","Diatom Changes in Lake Sediments from the Mackenzie Delta, N.W.T., Canada: Paleohydrological Applications"
"Pleistocene mammals from Lost Chicken Creek, Alaska","A Closed-form Equation for Predicting the Hydraulic Conductivity of Unsaturated Soils1","Simple Method for Predicting Drainage from Field Plots1","Ninth spectrum of iodine:l ix","Analysis of 4d^85s–4d^85p and 4d^9–4p^54d^10 transitions in Sb vii","Pleistocene mammals from Lost Chicken Creek, Alaska","A Closed-form Equation for Predicting the Hydraulic Conductivity of Unsaturated Soils1","Simple Method for Predicting Drainage from Field Plots1","Ninth spectrum of iodine:l ix"
"Dion Tomasellii (Zamiaceae), a New Species with Two Varieties from Western Mexico","Two New Species of Discocriconemella De Grisse & Loof, 1965 From Mexico (Criconematoidea: Nematoda)","A new species of cormorant (Aves: Phalacrocoracidae) from the Pleistocene of Olduvai Gorge, Tanzania","A New Species of Salvia (Lamiaceae) from Mexico","A New Species of Helietta (Rutaceae) from Guerrero and Jalisco, Mexico; a Synopsis of the North American Species","Dion Tomasellii (Zamiaceae), a New Species with Two Varieties from Western Mexico","Two New Species of Discocriconemella De Grisse & Loof, 1965 From Mexico (Criconematoidea: Nematoda)","A new species of cormorant (Aves: Phalacrocoracidae) from the Pleistocene of Olduvai Gorge, Tanzania","A New Species of Salvia (Lamiaceae) from Mexico"
"Rapid Serum Tests for Adequate Transfer of Colostral Antibody in Neonate Non-Domestic Bovids: Banteng (Bos banteng); Yak (Bos mutus); American Bison (Bison bison); Congo Buffalo (Syncerus caffer)","Bisoniana LXXVIII. Some aspects of urea metabolism in North American bison","Bisoniana LXXVIII. Metabolizm mocznika u Bison bison","Nomenclature, Classification, Origins, and Evolution","On the classification of Markov chains by finite equivalence","Coal deposits: Origin, evolution and present characteristics","Rapid Serum Tests for Adequate Transfer of Colostral Antibody in Neonate Non-Domestic Bovids: Banteng (Bos banteng); Yak (Bos mutus); American Bison (Bison bison); Congo Buffalo (Syncerus caffer)","Bisoniana LXXVIII. Some aspects of urea metabolism in North American bison","Bisoniana LXXVIII. Metabolizm mocznika u Bison bison"
"Conservation of Arctic fauna and its habitats","Recovery of the mud substrate and its associated fauna following a dry phase in a tropical lake1","Valence Tautomerism of Singly Protonated 9-Aminoacridine and its Implications for Intercalative Interactions with Nucleic Acids","Cornstone (Fossil Caliche): Its Origin, Stratigraphic, and Sedimentological Importance in the New Red Sandstone, Western Scotland","The Trophic Ecology of Bison bison L. on Shortgrass Plains","Conservation of Arctic fauna and its habitats","Recovery of the mud substrate and its associated fauna following a dry phase in a tropical lake1","Valence Tautomerism of Singly Protonated 9-Aminoacridine and its Implications for Intercalative Interactions with Nucleic Acids","Cornstone (Fossil Caliche): Its Origin, Stratigraphic, and Sedimentological Importance in the New Red Sandstone, Western Scotland"
"Autochthonous North American Musk Oxen Bootherium, Symbos, and Gidleya (Mammalia: Artiodactyla: Bovidae)","Les Bovidae (Mammalia, Artiodactyla) du Villafranchien supérieur d'Europe occidentale"," The food habits of suni antelopes ( Neotragus moschatus ) (Mammalia: Artiodactyla) ","Un nouveau Caprinae, Hemitragus cedrensis nov. sp. (Mammalia, Bovidae) des niveaux pléistocènes moyen de la Grotte des Cèdres (le Plan d'Aups, var). intéret biogéograhique","Musk Oxen The muskoxen of Polar Bear Pass. D. R. Gray 1987. Markham, Ont., Fitzhenry and Whiteside. 191 p, illustrated, hard cover. ISBN 0-88902-944-X. Can$50.00.","Autochthonous North American Musk Oxen Bootherium, Symbos, and Gidleya (Mammalia: Artiodactyla: Bovidae)","Les Bovidae (Mammalia, Artiodactyla) du Villafranchien supérieur d'Europe occidentale"," The food habits of suni antelopes ( Neotragus moschatus ) (Mammalia: Artiodactyla) ","Un nouveau Caprinae, Hemitragus cedrensis nov. sp. (Mammalia, Bovidae) des niveaux pléistocènes moyen de la Grotte des Cèdres (le Plan d'Aups, var). intéret biogéograhique"
"Quaternary paleontology and paleoecology of Crystal Ball Cave, Millard County, Utah: with emphasis on mammals and description of a new species of fossil skunk","Paleoecology of Beringia"," A new species of Chalicotherium from the Upper Miocene of Gansu Province, China ","Daphnia (Ctenodaphnia) brooksi (Crustacea: Cladocera), a new species from eastern Utah","Penstemon pinorum (Scrophulariaceae), a New Species from Utah","Quaternary paleontology and paleoecology of Crystal Ball Cave, Millard County, Utah: with emphasis on mammals and description of a new species of fossil skunk","Paleoecology of Beringia"," A new species of Chalicotherium from the Upper Miocene of Gansu Province, China ","Daphnia (Ctenodaphnia) brooksi (Crustacea: Cladocera), a new species from eastern Utah"
"Middle to Upper Pleistocene deposits of Shizukawa Hills in Hokkaido:Discussion on the cold stage and the relative sea-level change during the Last Interglacial Age","The Malaiyacjippatti Cave Temples","Turner Falls Park; Pleistocene tufa and travertine and Ordovician platform carbonates, Arbuckle Mountains, southern Oklahoma","Mid-Tertiary and Pleistocene sections, Sotol Vista to Cerro Castellan, Big Bend National Park, southwestern Brewster County, Trans-Pecos Texas","Technological Change and Its Impact on the Rural Structure of Pakistan","Middle to Upper Pleistocene deposits of Shizukawa Hills in Hokkaido:Discussion on the cold stage and the relative sea-level change during the Last Interglacial Age","The Malaiyacjippatti Cave Temples","Turner Falls Park; Pleistocene tufa and travertine and Ordovician platform carbonates, Arbuckle Mountains, southern Oklahoma","Mid-Tertiary and Pleistocene sections, Sotol Vista to Cerro Castellan, Big Bend National Park, southwestern Brewster County, Trans-Pecos Texas"
" The Plio-Pleistocene cheetah-like cat Miracinonyx inexpectatus of North America ","Evolution of a Plio-Pleistocene volcanogenic-alluvial fan: The Puye Formation, Jemez Mountains, New Mexico","Relations between Paleoclimatology and Plio-Pleistocene Biostratigraphic Data in West European Countries","The evolution of the guild of larger terrestrial carnivores during the Plio-Pleistocene in Africa","Transverse enamel hypoplasia on teeth of south African Plio-Pleistocene hominids"," The Plio-Pleistocene cheetah-like cat Miracinonyx inexpectatus of North America ","Evolution of a Plio-Pleistocene volcanogenic-alluvial fan: The Puye Formation, Jemez Mountains, New Mexico","Relations between Paleoclimatology and Plio-Pleistocene Biostratigraphic Data in West European Countries","The evolution of the guild of larger terrestrial carnivores during the Plio-Pleistocene in Africa"
"The Deer and the Tiger","Oil Shales near Deer Lake, Newfoundland","Simulated population dynamics of white-tailed deer in an any-deer hunting system","Reliability of Captive Deer and Cow in vitro Digestion Values in Predicting Wild Deer Digestion Levels","To Kill A Deer","The Deer and the Tiger","Oil Shales near Deer Lake, Newfoundland","Simulated population dynamics of white-tailed deer in an any-deer hunting system","Reliability of Captive Deer and Cow in vitro Digestion Values in Predicting Wild Deer Digestion Levels"
"Zooarchaeology and the biogeographical history of the mammals of Corsica and Sardinia since the last ice age","Mammals from the Late Pleistocene Carrol Creek Local Fauna, Donley Co., Texas","Ice-age atmospheric concentration of nitrous oxide from an Antarctic ice core","Explosive start to last ice age","Avoiding a permanent ice age","Zooarchaeology and the biogeographical history of the mammals of Corsica and Sardinia since the last ice age","Mammals from the Late Pleistocene Carrol Creek Local Fauna, Donley Co., Texas","Ice-age atmospheric concentration of nitrous oxide from an Antarctic ice core","Explosive start to last ice age"
